Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
1,VIR,20892,CHN,chancayense,NULL,NULL,NULL,NULL,D. Lima,P. Chancay,PER,Lomas de Lachay,NULL,200,24
2,PI,561637,ABZ,albornozii,-4,0400S,-79.25,07915W,P. Loja,D. Catamayo,ECU,3.6 km SW of junction of old Loja-Catamayo road and road to Duraznillo,5/1/1991,2610,NULL
3,PI,365356,AML,amabile,-13.20,NULL,-72.07,NULL,NULL,NULL,PER,"Huajratanca, near Ckosniriti.",NULL,NULL,NULL
4,PI,545880,ARZ,arnezii,-19.6,1936S,"-646,333",06438W,D. Chuquisaca,P. Azurduy,BOL,11 km from Abra Kasa on way to Tarabuco. 20 km before Cruz Kasa,4/1/1986,2500,NULL
5,PI,607896,AYM,aymaraesense,"-140,666",1404S,-73.25,07315W,D. Apurimac,P. Aymaraes,PER,"400m E of San Francisco (at deviation of road N of Toraya), S side of road, 20m from margin of Rio Chalhuanca",4/17/1998,2465,NULL
6,PI,498214,SPEC,species,"-84,833",0829S,"-776,166",07737W,D. Ancash,P. Sihuas,PER,Cerro Santa Rosa,NULL,3100,NULL
7,PI,568922,BUE,buesii,"-135,333",1332S,"-719,333",07156W,D. Cusco,P. Urubamba,PER,Ppuyupatamarca,NULL,3300,NULL
8,PI,607889,BUE,buesii,"-132,333",1314S,-72.5,07230W,D. Cusco,P. Urubamba,PER,"growing about Rio Pacaymayo, at village of Pacaymayo, at crossing of River with Inca Trail N and W of Machu Pichu",3/13/1998,3600,NULL
9,PI,255516,DPH,bulbocastanum dolichophyllum,NULL,NULL,NULL,NULL,E. Jalisco,NULL,MEX,Cuidad Guzman,NULL,NULL,NULL
10,PI,545752,DPH,bulbocastanum dolichophyllum,"189,166",1855N,"-997,166",09943W,E. Mexico,NULL,MEX,"East of Coatepec Harinas, between San Francisco and Porfirio Diaz",10/3/1984,2450,NULL
11,PI,498235,CHV,chavinense,-9.4,0924S,"-770,333",07702W,D. Ancash,P. Huari,PER,Tambillo,NULL,3900,NULL
